#separator:Comma
#html:true
#notetype:GMAT MCQ
#deck:GMAT::Practice
#tags column:9
"Although fullerenes--spherical molecules made entirely of carbon--were first found in the laboratory, they have since been found in nature, formed in fissures of the rare mineral shungite.  Since laboratory synthesis of fullerenes requires distinctive conditions of temperature and pressure, this discovery should give geologists a test case for evaluating hypotheses about the state of the Earth&#x27;s crust at the time these naturally occurring fullerenes were formed.<br><br>Which of the following, if true, most seriously undermines the argument?",Confirming that the shungite genuinely contained fullerenes took careful experimentation.,Some fullerenes have also been found on the remains of a small meteorite that collided with a spacecraft.,"The mineral shungite itself contains large amounts of carbon, from which the fullerenes apparently formed.",The naturally occurring fullerenes are arranged in a previously unknown crystalline structure.,Shungite itself is formed only under distinctive conditions.,D,,GMAT::Verbal::CriticalReasoning
"Economist:  On average, the emergency treatment for an elderly person for injuries resulting from a fall costs $11,000.  A new therapeutic program can significantly reduce an elderly person&#x27;s chances of falling.  Though obviously desirable for many reasons, this treatment program will cost $12,500 and thus cannot be justified.<br><br>Which of the following, if true, most seriously undermines the conclusion of the argument?","Among elderly people who had followed the program for only a few months, the number of serious falls reported was higher than it was for people who had followed the program for its recommended minimum length of one year.",Falls resulting in serious injuries are less common among elderly people living in nursing homes than they are among elderly people who live alone at home.,"A frequent result of injuries sustained in falls is long-term pain, medication for which is not counted among the average per-person costs of emergency treatment for elderly people&#x27;s injuries from such falls.","The new therapeutic program focuses on therapies other than medication, since overmedication can cause disorientation and hence increase the likelihood that an elderly person will have a serious fall.","A significant portion of the cost of the new therapeutic program is represented by regular visits by health care professionals, the costs of which tend to increase more rapidly than do those of other elements of the program.",C,,GMAT::Verbal::CriticalReasoning
"The prairie vole, a small North American grassland rodent, breeds year-round, and a group of voles living together consists primarily of an extended family, often including two or more litters.  Voles commonly live in large groups from late autumn through winter; from spring through early autumn, however, most voles live in far smaller groups.  The seasonal variation in group size can probably be explained by a seasonal variation in mortality among young voles.<br><br>Which of the following, if true, provides the strongest support for the explanation offered?",It is in the spring and early summer that prairie vole communities generally contain the highest proportion of young voles.,Prairie vole populations vary dramatically in size from year to year.,The prairie vole subsists primarily on broad-leaved plants that are abundant only in spring.,"Winters in the prairie voles&#x27; habitat are often harsh, with temperatures that drop well below freezing.","Snakes, a major predator of young prairie voles, are active only from spring through early autumn.",E,,GMAT::Verbal::CriticalReasoning
"A popular beach has long had a dolphin feeding program in which fish are given to dolphins several times a day; many dolphins get as much as half of their food each day there.  Although dolphins that first benefit from the program as adults are healthy and long-lived, their offspring have a lower life expectancy than offspring of dolphins that feed exclusively in the wild.<br><br>Which of the following, if true, most helps to explain the lower life expectancy of offspring of dolphins feeding at the beach compared to other young dolphins?",Sharks that prey on dolphins are less common in the open seas off the beach than in many other areas of the open seas where dolphins congregate.,Many of the adult dolphins that feed at the beach are females that nurse their offspring there.,The fish given to the dolphins at the beach are the same types of fish that dolphins typically catch in the wild.,Many dolphins that feed at the beach with their offspring come to the beach only a few times a month.,Adult dolphins that feed at the beach spend much less time teaching their offspring how to catch fish in the wild than do other adult dolphins.,E,,GMAT::Verbal::CriticalReasoning
"Tiger sharks are common in the waters surrounding Tenare Island.  Usually tiger sharks feed on smaller sharks, but sometimes they have attacked tourists swimming and surfing at Tenare&#x27;s beaches.  This has hurt Tenare&#x27;s tourism industry, which is second only to its fishing industry in annual revenues.  In order to help the economy, therefore, the mayor of the island has proposed an ongoing program to kill any tiger sharks within a mile of the beaches.<br><br>Which of the following, if true, most strongly calls into question the likelihood that implementation of the mayor&#x27;s proposal will have the desired consequence?","Even if not all the tiger sharks that come close to the beaches are killed, the existence of the program would reassure tourists.",Business owners who depend on tourism are willing to pay most of the cost of implementing the program.,"Tourists come to Tenare Island for its beaches, even though the island features a number of other tourist attractions.",The small sharks on which tiger sharks prey feed on fish that are commercially important to the island&#x27;s fisheries.,Not all tourists who come to Tenare Island enjoy swimming or surfing.,D,,GMAT::Verbal::CriticalReasoning
"The country of Ertland has never imported apples in any significant quantity because consumers there generally prefer the unique texture of Ertland-grown apples.  Nevertheless, apple growers from Kosolia, a neighboring country, plan to sell their apples in Ertland by selling Kosolia-grown apples at half the price of local apples and promoting them as a nourishing, low-cost alternative.<br><br>Which of the following, if true, casts most doubt on the viability of the plan by Kosolia&#x27;s apple growers to sell their apples in Ertland?",Most of the varieties of apples grown in Ertland were originally derived from common Kosolian varieties.,Consumers in Ertland tend to spend about the same proportion of their income on fresh fruits and vegetables as do consumers in Kosolia.,"At times in the past, Ertland has exported significant quantities of apples to Kosolia.","Some varieties of apples grown in Kosolia can be harvested throughout most of the year, whereas the varieties grown in Ertland can be harvested only during two months of the year.","Profiles of Ertland-grown apples are high enough in Ertland that growers, wholesalers, and retailers there could easily afford to reduce the price at which these apples are sold.",E,,GMAT::Verbal::CriticalReasoning
"As part of major renovations to Flowertown&#x27;s Main Street train station, consultants to the train company proposed moving the station&#x27;s entrance from its current valuable Main Street location to a low-rent adjoining side street and then leasing the high-rent entrance space to retail businesses.  In that way, the train company could easily pay for those and all other proposed renovations without negative impact on its tight budget.<br><br>Which of the following, if true, would most strongly support the consultants&#x27; proposal?",More train commuters are employed in businesses located on Main Street than in businesses located on the adjoining side street.,A reliable survey of Flowertown&#x27;s commuters showed that virtually none of them would use the train any less frequently if the station&#x27;s entrance were moved.,The high-rent block of Flowertown&#x27;s Main Street includes several buildings whose owners currently seek to replace long-standing tenants lost in recent months.,"If the station&#x27;s entrance were moved, the train company would need to begin costly renovations to its Main Street entrance space.",Ridership on Flowertown trains declined only slightly from 1970 to 1985 while other train companies lost large numbers of commuters.,B,,GMAT::Verbal::CriticalReasoning
"Automobile Dealer&#x27;s Advertisement:<br><br>The Highway Traffic Safety Institute reports that the PZ 1000 has the fewest injuries per accident of any car in its class.  This shows that the PZ 1000 is one of the safest cars available today.<br><br>Which of the following, if true, most seriously weakens the argument in the advertisement?",The Highway Traffic Safety Institute report listed many cars in other classes that had more injuries per accident than did the PZ 1000.,In recent years many more PZ 1000s have been sold than have any other kind of car in its class.,Cars in the class to which the PZ 1000 belongs are more likely to be involved in accidents than are other types of cars.,The difference between the number of injuries per accident for the PZ 1000 and that for other cars in its class is quite pronounced.,The Highway Traffic Safety Institute issues reports only once a year.,C,,GMAT::Verbal::CriticalReasoning
"Scientists are discussing ways to remove excess carbon dioxide from the atmosphere by increasing the amount that is absorbed by plant life.  One plan to accomplish this is to establish giant floating seaweed farms in the oceans.  When the seaweed plants die, they will be disposed of by being burned for fuel.<br><br>Which of the following, if true, would indicate the most serious weakness in the plan above?",Some areas of ocean in the Southern Hemisphere do not contain sufficient nutrients to support large seaweed farms.,"When a seaweed plant is burned, it releases an amount of carbon dioxide comparable to the amount it has absorbed in its lifetime.","Even if seaweed farms prove effective, some people will be reluctant to switch to this new fuel.",Each year about seven billion tons of carbon dioxide are released into the atmosphere but only about five billion tons are absorbed by plant life.,Seaweed farms would make more money by farming seaweed to sell as nutritional supplements than by farming seaweed to sell as fuel.,B,,GMAT::Verbal::CriticalReasoning
"Jennifer:  Video rental outlets in Centerville together handled 10,000 fewer video rentals in 1994 than in 1993.  The decline in rentals was probably due almost entirely to the February 1994 opening of Videorama, the first and only video rental outlet in the area that, in addition to renting videos, also sold them cheaply.<br><br>Brad:  There must be another explanation:  as you yourself said, the decline was on the order of 10,000 rentals.  Yet Videorama sold only 4,000 videos in 1994.<br><br>Which of the following, if true, would most seriously weaken the force of the objection that Brad presents to Jennifer&#x27;s explanation?",In 1994 Videorama rented out more videos than it sold.,In 1994 two new outlets that rent but that do not sell videos opened in Centerville.,Most of the video rental outlets in Centerville rent videos at a discount on certain nights of the week.,People often buy videos of movies that they have previously seen in a theater.,People who own videos frequently loan them to their friends.,E,,GMAT::Verbal::CriticalReasoning
